Cohort,Variable,Period,Start_date,End_date,Reference,Avg_ridit,SE_ridit
Student,Washed my hands,2021-08-23 to 2021-12-18,8/23/2021,12/18/2021,2021-12-19 to 2022-03-28,0.50110271,0.036134653
Student,Washed my hands,2021-12-19 to 2022-03-28,12/19/2021,3/28/2022,2021-12-19 to 2022-03-28,0.5,0.044472379
Student,Washed my hands,2020-06-01 to 2020-10-31,6/1/2020,10/31/2020,2021-12-19 to 2022-03-28,0.617129149,0.030673484
Student,Washed my hands,2020-11-01 to 2021-01-31,11/1/2020,1/31/2021,2021-12-19 to 2022-03-28,0.621731254,0.031377928
Student,Washed my hands,2021-02-01 to 2021-04-30,2/1/2021,4/30/2021,2021-12-19 to 2022-03-28,0.603717574,0.032295196
Student,Washed my hands,2022-08-01 to 2022-11-30,8/1/2022,11/30/2022,2020-06-01 to 2020-10-31,0.452984474,0.015588097
Student,Washed my hands,2021-05-01 to 2021-08-23,5/1/2021,8/23/2021,2020-06-01 to 2020-10-31,0.3649213,0.018407855
Student,Washed my hands,2021-08-23 to 2021-12-18,8/23/2021,12/18/2021,2020-06-01 to 2020-10-31,0.387965574,0.01850829
Student,Washed my hands,2021-12-19 to 2022-03-28,12/19/2021,3/28/2022,2020-06-01 to 2020-10-31,0.382870851,0.030673484
Student,Washed my hands,2020-06-01 to 2020-10-31,6/1/2020,10/31/2020,2020-06-01 to 2020-10-31,0.5,0.011549795
Student,Washed my hands,2020-11-01 to 2021-01-31,11/1/2020,1/31/2021,2020-06-01 to 2020-10-31,0.504171407,0.013118269
Student,Washed my hands,2021-02-01 to 2021-04-30,2/1/2021,4/30/2021,2020-06-01 to 2020-10-31,0.487865795,0.013866208
Student,Washed my hands,2022-08-01 to 2022-11-30,8/1/2022,11/30/2022,2020-11-01 to 2021-01-31,0.449065134,0.016893108
Student,Washed my hands,2021-05-01 to 2021-08-23,5/1/2021,8/23/2021,2020-11-01 to 2021-01-31,0.360423164,0.019711701
Student,Washed my hands,2021-08-23 to 2021-12-18,8/23/2021,12/18/2021,2020-11-01 to 2021-01-31,0.383597196,0.019762819
Student,Washed my hands,2021-12-19 to 2022-03-28,12/19/2021,3/28/2022,2020-11-01 to 2021-01-31,0.378268746,0.031377928
Student,Washed my hands,2020-06-01 to 2020-10-31,6/1/2020,10/31/2020,2020-11-01 to 2021-01-31,0.495828593,0.013118269
Student,Washed my hands,2020-11-01 to 2021-01-31,11/1/2020,1/31/2021,2020-11-01 to 2021-01-31,0.5,0.01448393
Student,Washed my hands,2021-02-01 to 2021-04-30,2/1/2021,4/30/2021,2020-11-01 to 2021-01-31,0.483703264,0.015222662
Student,Washed my hands,2022-08-01 to 2022-11-30,8/1/2022,11/30/2022,2021-02-01 to 2021-04-30,0.464565626,0.017655525
Student,Washed my hands,2021-05-01 to 2021-08-23,5/1/2021,8/23/2021,2021-02-01 to 2021-04-30,0.378093643,0.020455037
Student,Washed my hands,2021-08-23 to 2021-12-18,8/23/2021,12/18/2021,2021-02-01 to 2021-04-30,0.400717026,0.020518084
Student,Washed my hands,2021-12-19 to 2022-03-28,12/19/2021,3/28/2022,2021-02-01 to 2021-04-30,0.396282426,0.032295196
Student,Washed my hands,2020-06-01 to 2020-10-31,6/1/2020,10/31/2020,2021-02-01 to 2021-04-30,0.512134205,0.013866208
Student,Washed my hands,2020-11-01 to 2021-01-31,11/1/2020,1/31/2021,2021-02-01 to 2021-04-30,0.516296736,0.015222662
Student,Washed my hands,2021-02-01 to 2021-04-30,2/1/2021,4/30/2021,2021-02-01 to 2021-04-30,0.5,0.015968541
Student,Wore a facemask,2022-08-01 to 2022-11-30,8/1/2022,11/30/2022,2022-08-01 to 2022-11-30,0.5,0.020724767
Student,Wore a facemask,2021-05-01 to 2021-08-23,5/1/2021,8/23/2021,2022-08-01 to 2022-11-30,0.91298224,0.023776129
Student,Wore a facemask,2021-08-23 to 2021-12-18,8/23/2021,12/18/2021,2022-08-01 to 2022-11-30,0.909580868,0.023963373
Student,Wore a facemask,2021-12-19 to 2022-03-28,12/19/2021,3/28/2022,2022-08-01 to 2022-11-30,0.89699348,0.036802761
Student,Wore a facemask,2020-06-01 to 2020-10-31,6/1/2020,10/31/2020,2022-08-01 to 2022-11-30,0.951366177,0.01580652
Student,Wore a facemask,2020-11-01 to 2021-01-31,11/1/2020,1/31/2021,2022-08-01 to 2022-11-30,0.954272159,0.017890832
Student,Wore a facemask,2021-02-01 to 2021-04-30,2/1/2021,4/30/2021,2022-08-01 to 2022-11-30,0.947294293,0.019049794
Student,Wore a facemask,2022-08-01 to 2022-11-30,8/1/2022,11/30/2022,2021-05-01 to 2021-08-23,0.098007568,0.023776129
Student,Wore a facemask,2021-05-01 to 2021-08-23,5/1/2021,8/23/2021,2021-05-01 to 2021-08-23,0.5,0.024098963
Student,Wore a facemask,2021-08-23 to 2021-12-18,8/23/2021,12/18/2021,2021-05-01 to 2021-08-23,0.503443111,0.024365653
Student,Wore a facemask,2021-12-19 to 2022-03-28,12/19/2021,3/28/2022,2021-05-01 to 2021-08-23,0.533816425,0.035940023
Student,Wore a facemask,2020-06-01 to 2020-10-31,6/1/2020,10/31/2020,2021-05-01 to 2021-08-23,0.774879841,0.016096721
Student,Wore a facemask,2020-11-01 to 2021-01-31,11/1/2020,1/31/2021,2021-05-01 to 2021-08-23,0.78687756,0.017772743
Student,Wore a facemask,2021-02-01 to 2021-04-30,2/1/2021,4/30/2021,2021-05-01 to 2021-08-23,0.753258222,0.019324861
Student,Wore a facemask,2022-08-01 to 2022-11-30,8/1/2022,11/30/2022,2021-08-23 to 2021-12-18,0.10206651,0.023963373
Student,Wore a facemask,2021-05-01 to 2021-08-23,5/1/2021,8/23/2021,2021-08-23 to 2021-12-18,0.496556889,0.024365653
Student,Wore a facemask,2021-08-23 to 2021-12-18,8/23/2021,12/18/2021,2021-08-23 to 2021-12-18,0.5,0.024625471
Student,Wore a facemask,2021-12-19 to 2022-03-28,12/19/2021,3/28/2022,2021-08-23 to 2021-12-18,0.529738378,0.036277664
Student,Wore a facemask,2020-06-01 to 2020-10-31,6/1/2020,10/31/2020,2021-08-23 to 2021-12-18,0.767418442,0.016134695
Student,Wore a facemask,2020-11-01 to 2021-01-31,11/1/2020,1/31/2021,2021-08-23 to 2021-12-18,0.779193181,0.017776112
